Event,Name,Donation Made To,Date,Value
2019 Federal election,Climate 200 Pty Limited,"YATES, Oliver Tennant",26/4/2019,5000
2019 Federal election,Climate 200 Pty Limited,"OAKESHOTT, Robert James Murray",3/5/2019,17000
2019 Federal election,Climate 200 Pty Limited,"Unendorsed - PESEC, Anthony",3/5/2019,15000
2019 Federal election,Climate 200 Pty Limited,"BANKS, Julia Helen",8/5/2019,12000
2019 Federal election,Climate 200 Pty Limited,"HAINES, Helen Mary",8/5/2019,25000
2019 Federal election,Climate 200 Pty Limited,"PHELPS, Kerryn Lyndel",8/5/2019,27500
2019 Federal election,Climate 200 Pty Limited,"Unendorsed - PESEC, Anthony",8/5/2019,17000
2019 Federal election,Climate 200 Pty Limited,"YATES, Oliver Tennant",8/5/2019,32000
2019 Federal election,Climate 200 Pty Limited,"OAKESHOTT, Robert James Murray",10/5/2019,20000
2019 Federal election,Climate 200 Pty Limited,"PHELPS, Kerryn Lyndel",10/5/2019,20000
2019 Federal election,Climate 200 Pty Limited,"BANKS, Julia Helen",14/5/2019,5000
2019 Federal election,Climate 200 Pty Limited,"Unendorsed - PESEC, Anthony",14/5/2019,8000
2019 Federal election,Climate 200 Pty Limited,"BANKS, Julia Helen",17/5/2019,3000
2019 Federal election,Climate 200 Pty Limited,"YATES, Oliver Tennant",17/5/2019,8000
2019 Federal election,"Construction, Forestry, Maritime Employees Union","LAMBERT, Todd Edwin",1/5/2019,1756
2019 Federal election,"Construction, Forestry, Maritime Employees Union","LAMBERT, Todd Edwin",1/5/2019,8682
2019 Federal election,"Construction, Forestry, Maritime Employees Union","LAMBERT, Todd Edwin",1/5/2019,2000
2019 Federal election,"Construction, Forestry, Maritime Employees Union","SMITH, Brett Michael",1/5/2019,2000
2019 Federal election,"Construction, Forestry, Maritime Employees Union","SMITH, Brett Michael",3/5/2019,4147
2019 Federal election,"Construction, Forestry, Maritime Employees Union","LAMBERT, Todd Edwin",9/5/2019,2160
2019 Federal election,"Construction, Forestry, Maritime Employees Union","SMITH, Brett Michael",9/5/2019,2160
2019 Federal election,"Construction, Forestry, Maritime Employees Union","LAMBERT, Todd Edwin",10/5/2019,110
2019 Federal election,"Construction, Forestry, Maritime Employees Union","LAMBERT, Todd Edwin",10/5/2019,525
2019 Federal election,"Construction, Forestry, Maritime Employees Union","SMITH, Brett Michael",10/5/2019,110
2019 Federal election,"Construction, Forestry, Maritime Employees Union","LAMBERT, Todd Edwin",15/5/2019,12976
2019 Federal election,"Construction, Forestry, Maritime Employees Union","SMITH, Brett Michael",15/5/2019,7092
2019 Federal election,DEM Australasia Pty Limited,"PHELPS, Kerryn Lyndel",17/6/2019,25000
2019 Federal election,Extend Your Edge Pty Ltd ,"STEGGALL, Zali",17/6/2019,57000
2019 Federal election,"Franklin, James","PRICE, Jacinta",7/2/2019,5000
2019 Federal election,"Franklin, James","PRICE, Jacinta",25/3/2019,10000
2019 Federal election,"Gemmell, Angus","STEGGALL, Zali",14/2/2019,13000
2019 Federal election,"Gemmell, Angus","STEGGALL, Zali",3/4/2019,12000
2019 Federal election,"Haines, Nick","HAINES, Helen Mary",31/5/2019,15620
2019 Federal election,"Haines, Philip","HAINES, Helen Mary",15/6/2019,39250
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",1/3/2019,50000
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",1/3/2019,20000
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",19/3/2019,7700
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",1/4/2019,8250
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",4/4/2019,1622
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",28/4/2019,120
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",1/5/2019,8250
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",2/5/2019,770
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",22/5/2019,22968
2019 Federal election,"Jenman, Neil and Reiden","JOHNSTON, Hetty Margarette",6/6/2019,1039
2019 Federal election,"Josephson, Anna","STEGGALL, Zali",26/4/2019,325
2019 Federal election,"Josephson, Anna","STEGGALL, Zali",7/5/2019,400
2019 Federal election,"Josephson, Anna","STEGGALL, Zali",30/5/2019,57000
2019 Federal election,"Kaye-Hardie, Sara","HAINES, Helen Mary",18/5/2019,31100
2019 Federal election,"Koshland, Ellen","YATES, Oliver Tennant",26/4/2019,25000
2019 Federal election,"Kronborg, James","HAINES, Helen Mary",15/6/2019,20160
2019 Federal election,"Manos, William","STEGGALL, Zali",1/5/2019,10000
2019 Federal election,"Manos, William","STEGGALL, Zali",2/5/2019,10000
2019 Federal election,McGuire Family Holdings Pty Ltd,"STEGGALL, Zali",14/2/2019,22000
2019 Federal election,"Messenger, Fern","STEPHEN, Matthew Denis",14/5/2019,1500
2019 Federal election,"Messenger, Robert","STEPHEN, Matthew Denis",14/5/2019,1500
2019 Federal election,MINAX URIEL PL,"BANKS, Julia Helen",20/2/2019,18000
2019 Federal election,MINAX URIEL PL,"BANKS, Julia Helen",10/4/2019,4000
2019 Federal election,"Modica, AF and M","MODICA, Jason Mark",13/2/2019,25000
2019 Federal election,"Nile, Frederick","NILE, Silvana",18/4/2019,22543
2019 Federal election,"Nile, Frederick","NILE, Silvana",14/5/2019,24526
2019 Federal election,"Perini, Sally","STEGGALL, Zali",25/2/2019,20000
2019 Federal election,"pradella, silvio","ARCHIBALD, David Colin",22/4/2019,25000
2019 Federal election,"Purves, Robert","STEGGALL, Zali",3/5/2019,10000
2019 Federal election,"Purves, Robert","STEGGALL, Zali",17/6/2019,57000
2019 Federal election,"Purves, Sandra","STEGGALL, Zali",1/3/2019,13000
2019 Federal election,"Purves, Sandra","STEGGALL, Zali",12/4/2019,37000
2019 Federal election,"Schultz, Gloria Helen","SCHULTZ, Grant Damian",14/3/2019,5000
2019 Federal election,"Schultz, Gloria Helen","SCHULTZ, Grant Damian",28/5/2019,10000
2019 Federal election,Symi Investments Pty Ltd,"STEGGALL, Zali",26/4/2019,50000
2019 Federal election,"Turnbull, Alexander","Unendorsed - PESEC, Anthony",7/3/2019,15000
2019 Federal election,"Turnbull, Alexander","Unendorsed - PESEC, Anthony",15/3/2019,5000
2016 Federal election,Golden Lineage P/L,"WINDSOR, Antony Harold Curties",16/6/2016,15000
2016 Federal election,HECKLER Pty Ltd. ,"WRIGHT, Edward James",30/6/2016,30975
2016 Federal election,Platinum Fuel Services P/L,"GARNER, Mark Kelvin",9/6/2016,25000
2016 Federal election,ReadyCo,"GRANT, Suzanne Patricia",30/6/2016,23006
2016 Federal election,"Roberson, Garry Raymond","MATHESON, Julie",20/6/2016,20000
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",27/5/2016,1260
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",28/5/2016,1260
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",30/5/2016,455
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",2/6/2016,1044
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",6/6/2016,1044
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",6/6/2016,1044
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",6/6/2016,40
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",7/6/2016,605
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",8/6/2016,455
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",8/6/2016,605
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",10/6/2016,455
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",15/6/2016,1044
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",20/6/2016,1242
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",20/6/2016,455
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",27/6/2016,455
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",30/6/2016,11000
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",1/7/2016,1242
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",2/7/2016,6000
2016 Federal election,"Tatchell, Helen","TATCHELL, Paul Edward",6/7/2016,990
2016 Federal election,"Wood, Graeme","WINDSOR, Antony Harold Curties",15/3/2016,200000
2013 Federal election,Australian Municipal Administrative Clerical and Services Union ,"BOWTELL, Catharine Mary",15/9/2013,750
2013 Federal election,Australian Municipal Administrative Clerical and Services Union ,"BOWTELL, Catharine Mary",15/9/2013,10323
2013 Federal election,Australian Municipal Administrative Clerical and Services Union ,"BOWTELL, Catharine Mary",15/9/2013,1688
2013 Federal election,Australian Municipal Administrative Clerical and Services Union ,"BOWTELL, Catharine Mary",15/9/2013,1132
2013 Federal election,Australian Municipal Administrative Clerical and Services Union ,"BOWTELL, Catharine Mary",15/9/2013,920
2013 Federal election,"Booth, Don","WALKER, Bronwyn",20/2/2013,374
2013 Federal election,"Booth, Don","WALKER, Bronwyn",4/3/2013,80
2013 Federal election,"Booth, Don","WALKER, Bronwyn",19/4/2013,950
2013 Federal election,"Booth, Don","WALKER, Bronwyn",8/5/2013,402
2013 Federal election,"Booth, Don","WALKER, Bronwyn",10/5/2013,49
2013 Federal election,"Booth, Don","WALKER, Bronwyn",11/5/2013,173
2013 Federal election,"Booth, Don","WALKER, Bronwyn",13/5/2013,16
2013 Federal election,"Booth, Don","WALKER, Bronwyn",13/5/2013,29
2013 Federal election,"Booth, Don","WALKER, Bronwyn",14/5/2013,202
2013 Federal election,"Booth, Don","WALKER, Bronwyn",17/5/2013,76
2013 Federal election,"Booth, Don","WALKER, Bronwyn",18/5/2013,30
2013 Federal election,"Booth, Don","WALKER, Bronwyn",19/5/2013,86
2013 Federal election,"Booth, Don","WALKER, Bronwyn",20/5/2013,5
2013 Federal election,"Booth, Don","WALKER, Bronwyn",21/5/2013,55
2013 Federal election,"Booth, Don","WALKER, Bronwyn",22/5/2013,64
2013 Federal election,"Booth, Don","WALKER, Bronwyn",30/5/2013,349
2013 Federal election,"Booth, Don","WALKER, Bronwyn",30/5/2013,174
2013 Federal election,"Booth, Don","WALKER, Bronwyn",30/5/2013,49
2013 Federal election,"Booth, Don","WALKER, Bronwyn",3/6/2013,173
2013 Federal election,"Booth, Don","WALKER, Bronwyn",5/6/2013,40
2013 Federal election,"Booth, Don","WALKER, Bronwyn",7/6/2013,180
2013 Federal election,"Booth, Don","WALKER, Bronwyn",7/6/2013,78
2013 Federal election,"Booth, Don","WALKER, Bronwyn",12/6/2013,80
2013 Federal election,"Booth, Don","WALKER, Bronwyn",12/6/2013,12
2013 Federal election,"Booth, Don","WALKER, Bronwyn",13/6/2013,68
2013 Federal election,"Booth, Don","WALKER, Bronwyn",25/6/2013,2973
2013 Federal election,"Booth, Don","WALKER, Bronwyn",9/7/2013,5
2013 Federal election,"Booth, Don","WALKER, Bronwyn",18/7/2013,1100
2013 Federal election,"Booth, Don","WALKER, Bronwyn",20/7/2013,354
2013 Federal election,"Booth, Don","WALKER, Bronwyn",22/7/2013,620
2013 Federal election,"Booth, Don","WALKER, Bronwyn",24/7/2013,93
2013 Federal election,"Booth, Don","WALKER, Bronwyn",24/7/2013,957
2013 Federal election,"Booth, Don","WALKER, Bronwyn",24/7/2013,490
2013 Federal election,"Booth, Don","WALKER, Bronwyn",25/7/2013,99
2013 Federal election,"Booth, Don","WALKER, Bronwyn",25/7/2013,220
2013 Federal election,"Booth, Don","WALKER, Bronwyn",1/8/2013,50
2013 Federal election,"Booth, Don","WALKER, Bronwyn",3/8/2013,1600
2013 Federal election,"Booth, Don","WALKER, Bronwyn",5/8/2013,1098
2013 Federal election,"Booth, Don","WALKER, Bronwyn",9/8/2013,110
2013 Federal election,"Booth, Don","WALKER, Bronwyn",9/8/2013,2792
2013 Federal election,"Booth, Don","WALKER, Bronwyn",13/8/2013,4771
2013 Federal election,"Booth, Don","WALKER, Bronwyn",14/8/2013,328
2013 Federal election,"Booth, Don","WALKER, Bronwyn",15/8/2013,52
2013 Federal election,"Booth, Don","WALKER, Bronwyn",18/8/2013,5178
2013 Federal election,"Booth, Don","WALKER, Bronwyn",21/8/2013,2260
2013 Federal election,"Booth, Don","WALKER, Bronwyn",22/8/2013,550
2013 Federal election,"Booth, Don","WALKER, Bronwyn",26/8/2013,280
2013 Federal election,"Booth, Don","WALKER, Bronwyn",30/8/2013,127
2013 Federal election,"Booth, Don","WALKER, Bronwyn",30/8/2013,340
2013 Federal election,"Booth, Don","WALKER, Bronwyn",31/8/2013,89
2013 Federal election,"Booth, Don","WALKER, Bronwyn",4/9/2013,108
2013 Federal election,"Booth, Don","WALKER, Bronwyn",5/9/2013,107
2013 Federal election,"Booth, Don","WALKER, Bronwyn",5/9/2013,39
2013 Federal election,"Booth, Don","WALKER, Bronwyn",5/9/2013,326
2013 Federal election,"Booth, Don","WALKER, Bronwyn",11/9/2013,34
2013 Federal election,"Booth, Don","WALKER, Bronwyn",11/9/2013,379
2013 Federal election,"Booth, Don","WALKER, Bronwyn",25/9/2013,250
2013 Federal election,"Creasy, Mark Gareth","WITHAM, Chub William John Andrew",21/8/2013,14000
2013 Federal election,"Dickinson, Doug","WILKIE, Andrew Damien",16/2/2013,12500
2013 Federal election,Gulf Coast Aviation Pty Ltd,"KATTER, Robert Carl B",26/8/2013,39227
2013 Federal election,"Heath, Peter","WALTON, Rowell",2/9/2013,20000
2013 Federal election,"Katter, S","WALTON, Rowell",9/8/2013,20000
2013 Federal election,Nioa Nominees PTY LTD ATF Bill Nioa Family Trust,"BLUNDELL, James Edmonds",27/8/2013,10000
2013 Federal election,Nioa Nominees PTY LTD ATF Bill Nioa Family Trust,"WALTON, Rowell",27/8/2013,10000
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",11/8/2013,375
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",11/8/2013,375
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",12/8/2013,14920
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",12/8/2013,14920
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",13/8/2013,21532
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",13/8/2013,21532
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",15/8/2013,1000
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",15/8/2013,1000
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",16/8/2013,866
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",16/8/2013,866
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",19/8/2013,10408
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",19/8/2013,10408
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",20/8/2013,866
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",20/8/2013,866
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",21/8/2013,214941
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",21/8/2013,214942
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",22/8/2013,23900
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",22/8/2013,23900
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",23/8/2013,9402
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",23/8/2013,9402
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",27/8/2013,866
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",27/8/2013,866
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",30/8/2013,6315
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",30/8/2013,6315
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",31/8/2013,18232
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",31/8/2013,18232
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",3/9/2013,1173
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",3/9/2013,1173
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",4/9/2013,5945
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",4/9/2013,5945
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",7/9/2013,3032
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",7/9/2013,-250
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",7/9/2013,3032
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",7/9/2013,-250
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",10/9/2013,9550
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",10/9/2013,9550
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",11/9/2013,16921
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",11/9/2013,16921
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",18/9/2013,2654
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",18/9/2013,2654
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",25/9/2013,1174
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",25/9/2013,1174
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",30/9/2013,8002
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",30/9/2013,8002
2013 Federal election,OGNIS Pty Ltd,"BRACKEN, Nathan Wade",2/10/2013,154
2013 Federal election,OGNIS Pty Ltd,"McKINNA, Lawrie",2/10/2013,154
2010 Federal election,"CFMEU - Construction & General Division, National Office","RAMSAY, Andrew William John",3/8/2010,30000
2010 Federal election,"Clegg, Louise","TURNBULL, Malcolm Bligh",3/8/2010,1500
2010 Federal election,Executive Administrative Group Pty Ltd,"THOW, Antony Charles",10/8/2010,11918
2010 Federal election,Gainsdale Pty Ltd,"BOURKE, William John",9/8/2010,25000
2010 Federal election,Gufee Pty Ltd,"TURNBULL, Malcolm Bligh",3/8/2010,2000
2010 Federal election,Stable Population Party of Australia,"BOURKE, William John",21/7/2010,38584
2010 Federal election,"Taylor, Angus","TURNBULL, Malcolm Bligh",3/8/2010,1500
2007 Federal Election,Antony Harold Curties Windsor,"HORAN, Timothy James",14/11/2007,15000
2007 Federal Election,Antony Harold Curties Windsor,"PRIESTLEY, Gavin James",31/12/2007,15000
2007 Federal Election,Hills Transport Pty Ltd,"WINDSOR, Antony Harold Curties",25/10/2007,20000
2007 Federal Election,Kindilan Investments P/L,"WASHER, Malcolm James",16/5/2007,15000
2007 Federal Election,Kindilan Investments P/L,"WASHER, Malcolm James",3/9/2007,15000
2007 Federal Election,Manildra Group,"HORAN, Timothy James",24/10/2007,50000
2007 Federal Election,Manildra Group,"WINDSOR, Antony Harold Curties",2/11/2007,50000
2007 Federal Election,Mist Consulting Pty Ltd,"MISZKOWSKI, Samuel",1/11/2007,372694
