name	date published	abn	client of
Screenrights	30 October 2023	76 003 912 310	The Shape Agency | 67 618 969 332
SCRgroup	4 July 2022	80 616 529 643	Media and Public Affairs Australia | 49 622 979 177
Sea Forest	21 June 2023	46 631 662 283	DPG Advisory Solutions | 14 634 403 115
SEA Gas	21 June 2024	73 096 437 900	Spring Street Advisory Pty Ltd | 92 603 411 650
Seaborne International	9 January 2024		GovTech Australia Pty Ltd | 51 673 743 890
Seafloor Systems Inc.	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Sealed Air	16 November 2023	73 162 250 740	TG Public Affairs Pty Ltd | 23 630 677 673
Seamap Pte Ltd	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Searoad Ferries	29 November 2022	95 064 897 025	The Civic Partnership Pty Ltd | 71 652 574 171
Security In depth	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
Seeley International	13 November 2022	23 054 687 035	Headline Advisory Pty Ltd | 73 268 549 885
Seeley International	19 November 2024	23 054 687 035	Thomas, James Aaron | 34 556 343 030
Sekisui House Australia Holdings Pty Limited	30 June 2022	71 134 688 510	Iemma Patterson Premier Advisory | 53 830 148 273
Sell & Parker Pty Ltd	13 September 2019	98 000 101 315	Counsel House Pty Ltd | 35 631 919 009
Senex Energy PTY LTD	8 March 2023	50 008 942 827	CMAX Communications Pty Ltd | 73 130 740 546
Seniors Dental Care Australia	3 February 2023	96 648 425 085	Hawkshaw Pty Ltd | 96 648 425 085
Sentient Hubs	8 May 2019		One Degree Advisory Pty Ltd | 53 153 921 058
Sentinel Fund Manager Australia	26 July 2024	22 146 120 112	TSB Advisory Pty Ltd | 90 604 408 826
SEQIRUS PTY LTD	14 February 2024	26 160 735 035	OGILVY HEALTH PTY LTD | 62 114 807 877
Serco Asia Pacific	14 February 2022	55 061 889 763	Perdition Road Pty Limited | 16 641 888 495
Serco Australia PTY Limited	29 November 2022	44 003 677 352	SEC Newgate Pty Limited | 38 162 366 056
Serco Australia Pty Ltd	13 May 2024	44 003 677 352	Fitzgibbon Advisory | 95 654 228 789
Service Stream Limited	22 November 2022	46 072 369 870	SEC Newgate Pty Limited | 38 162 366 056
Service Stream Limited	13 September 2024	46 072 369 870	Arican Pty Limited | 12 633 279 786
Service Stream Limited	31 October 2023	46 072 369 870	PYNE AND PARTNERS PTY LTD | 81 634 747 363
ServiceNow Australia Pty Ltd	30 May 2023	88 149 683 312	Hawker Britton Group Pty Ltd | 79 109 681 405
ServiceNow Australia Pty Ltd	2 October 2024	88 149 683 312	Barton Deakin Pty Ltd | 65 140 067 287
Servier Laboratories (Aust.) Pty Ltd	2 September 2024	54 004 838 500	TSB Advisory Pty Ltd | 90 604 408 826
Serving our People	7 August 2023	89 187 860 210	The Shape Agency | 67 618 969 332
Settlement Services International	12 October 2021	38 031 375 761	Advisory Street | 28 613 329 472
Settlement Services International	14 February 2024	38 031 375 761	Bradley Wayne Chilcott | 47 244 225 695
Settlement Services International Limited	14 July 2023	38 031 375 761	Hawker Britton Group Pty Ltd | 79 109 681 405
Settlement Services International Limited	17 December 2024	38 031 375 761	BenschCo Pty Ltd | 65 093 399 618
SETTLEMENT SERVICES INTERNATIONAL LIMITED	8 October 2024	38 031 375 761	Essential Media Communications | 48 074 671 462
Seven Group Holdings Limited	5 December 2023	46 142 003 469	Iemma Patterson Premier Advisory | 53 830 148 273
Severn River, Ngarabal and Kwiambal Aboriginal Corporation	9 April 2024	26 341 541 809	Third Bay | 39 663 518 321
Sexual Health and Family Planning ACT Incorporated	21 August 2024	89 389 381 869	CMAX Communications Pty Ltd | 73 130 740 546
Shadbolt Group Pty Ltd	10 July 2024	37 603 737 935	CMAX Communications Pty Ltd | 73 130 740 546
Shanghai Electric	9 July 2024		PATON, ALEXANDER WILLIAM | 26 764 474 411
ShapeCUT Pty Ltd	19 June 2020	50 063 855 541	Advisory Street | 28 613 329 472
Shell Australia Pty Ltd	12 August 2024	14 009 663 576	GRACosway Pty Ltd | 50 082 123 822
SHELL ENERGY AUSTRALIA PTY LTD	5 December 2023	18 085 757 446	Hawker Britton Group Pty Ltd | 79 109 681 405
Shenergy Company Limited	5 February 2024		KIG Energy Management Pty Ltd | 58 677 859 111
Shin Etsu Japan	5 June 2018		Meso Consulting Pty Ltd | 77 103 564 254
Shire of Dardanup	20 July 2023	57 305 829 653	CGM Communications Pty Ltd | 66 619 642 858
Shire of Dundas	4 September 2020		PUZZLE CONSULTING PTY LTD | 31 626 366 452
Shire of Leonora	6 February 2024	15 961 454 076	PUZZLE CONSULTING PTY LTD | 31 626 366 452
Shiro Corp Holdings Pty Ltd	16 October 2023	69 668 172 343	Capitol Research Pty Ltd | 59 001 715 135
Shop Distributive & Allied Employees Association Nat Branch	28 September 2016		Essential Media Communications | 48 074 671 462
Sicona Battery Technologies	8 May 2023	50 634 453 124	South Break Media | 22 653 785 365
Siebe Gorman Lifescience	5 August 2024	64 632 744 588	Leonis Advisory | 26 381 028 834
Siemens Healthineers (ABN 83 604 853 938)	16 April 2024	83 604 853 938	H/Advisors APA Pty Ltd | 60 074 901 545
Signature Orthopaedics Pty Ltd	22 December 2023	41 106 702 416	Purple Communications Australia Pty Ltd | 37 108 802 366
Silentium Defence Pty Ltd	1 November 2024	24 616 397 383	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Silica Resources Australia	3 June 2024	97 655 231 066	Mission Consulting Solutions | 32 660 516 974
Silicon Billabong Group Pty Ltd	19 January 2024	98 646 512 236	GR CONNECT PTY LTD | 40 657 487 146
Silver Mines Limited	29 July 2024	45 107 452 942	Principle Advisory Pty Ltd | 29 657 059 848
Silverchain	8 July 2022		SEC Newgate Pty Limited | 38 162 366 056
Simavita Limited	18 August 2017		Bossy Group Pty Ltd | 24 166 898 488
Simmons Global Pty Ltd	19 January 2021	77 103 793 559	Jannette Cotterell | 51 364 113 263
Simplicity One Pty Ltd	19 March 2021	38 640 087 494	BDAAS Consulting Pty Ltd | 62 164 001 969
Sims Metal Management Limited	29 October 2019		TG Public Affairs Pty Ltd | 23 630 677 673
Sir Michael Hintze AM	8 September 2015		The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
Sitzler Pty Ltd	13 December 2024	17 091 273 013	PYNE AND PARTNERS PTY LTD | 81 634 747 363
SK E&S	19 July 2023	55 158 702 071	GRA Partners Pty Ltd | 56 131 702 755
SKEDGO PTY LIMITED	25 September 2024	38 140 031 456	Upstream Consulting Pty Ltd | 87 620 657 418
SkillsTX	4 April 2023	55 608 536 456	Making The World A Better Place Pty Ltd | 13 075 789 196
Skin Cancer College Australasia	19 June 2024	47 155 488 467	Nexus APAC Pty Ltd | 76 615 655 699
Skyborne Technologies	11 June 2024	55 604 564 141	Jutsum Advisory Pty Ltd ATF Jutsum Family Trust | 68 973 583 422
SkyCity Entertainment Group Limited	18 January 2024		The Trustee for Bespoke Business Trust | 86 231 566 780
SKYKRAFT PTY LTD	28 June 2023	24 621 641 610	Nova Systems Australia Pty Ltd | 39 613 308 008
Sleep Health Foundation	24 May 2017		Jannette Cotterell | 51 364 113 263
Smarterlite	15 May 2024	12 629 158 069	EH Advisory | 62 669 756 763
Smartgroup	3 April 2023		TG Public Affairs Pty Ltd | 23 630 677 673
SMARTPAY AUSTRALIA PTY LTD	20 August 2024	79 120 473 823	TSB Advisory Pty Ltd | 90 604 408 826
SMEC Australia	22 March 2023	47 065 475 149	Primary Communication Partners Pty Limited | 36 617 864 347
SMEC Australia Pty Ltd	22 March 2023	47 065 475 149	Primary Communication Partners Pty Limited | 36 617 864 347
SMEE GROUP PTY LTD	7 June 2024	63 670 637 199	Horizon GR Pty Ltd | 72 652 169 170
Smiths Detection	3 August 2020	66 088 868 062	Perdition Road Pty Limited | 16 641 888 495
Smoke and Fire	1 November 2023	85 624 329 960	The Influence Corporation Pty. Ltd. | 79 671 703 156
SNAP AUS PTY LTD	27 June 2024	80 601 333 573	OGILVY HEALTH PTY LTD | 62 114 807 877
SNAP AUS PTY LTD	12 July 2024	80 601 333 573	OGILVY PR PTY LTD | 89 096 965 794
SNAP AUS PTY LTD	14 October 2024	80 601 333 573	TSB Advisory Pty Ltd | 90 604 408 826
SNIIP LTD	17 December 2024	86 161 862 068	Sapphire Executive Business Services | 17 661 600 504
Snowy Hydro Limited	15 June 2021	17 090 574 431	SEC Newgate Pty Limited | 38 162 366 056
SoftIron Australia Pty Ltd	10 May 2022	87 640 238 795	Capital Integrity Group Pty Ltd | 99 649 180 898
Softmed Pty Ltd	24 May 2024	38 641 094 260	PYNE AND PARTNERS PTY LTD | 81 634 747 363
SolarEdge Technologies (Australia) Pty Ltd	3 February 2023	15 165 506 712	Nexus APAC Pty Ltd | 76 615 655 699
Soldier On	1 September 2015		CMAX Communications Pty Ltd | 73 130 740 546
Sonic Imaging Pty Ltd	14 April 2020	12 094 953 349	Nexus APAC Pty Ltd | 76 615 655 699
Source Certain International	17 July 2020	64 611 612 849	Media and Public Affairs Australia | 49 622 979 177
Source Certain International	4 July 2022	64 611 612 849	Media and Public Affairs Australia | 49 622 979 177
South West Group	16 June 2021	81 152 433 900	CGM Communications Pty Ltd | 66 619 642 858
South West Irrigation Management Co-Operative Limited	18 November 2024	54 498 176 490	GRA Partners Pty Ltd | 56 131 702 755
South32	29 September 2023	84 093 732 597	SEC Newgate Pty Limited | 38 162 366 056
Southern Cross Care (QLD) Ltd	4 January 2022	65 104 033 471	H/Advisors APA Pty Ltd | 60 074 901 545
Southern Cross Care Tasmania (Inc)	23 March 2023	18 773 507 851	Primary Communication Partners Pty Limited | 36 617 864 347
Southern Grampians Shire Council	20 November 2024	55 135 536 448	Diplomacy Pty Limited | 17 148 998 645
Southern Han Parramatta Pty Ltd	16 April 2024	73 165 736 256	DPG Advisory Solutions | 14 634 403 115
Southern Neurology Pty Ltd	22 April 2024	95 067 742 992	GRACosway Pty Ltd | 50 082 123 822
Southern Oil	2 February 2022		Jannette Cotterell | 51 364 113 263
Sovereign Cloud Australia Pty Ltd	13 February 2020	55 611 181 830	Sports Hydrant Pty Ltd | 91 133 062 012
Space Angels	20 July 2023	76 642 228 484	CGM Communications Pty Ltd | 66 619 642 858
Space Machines Company	7 February 2024	15 631 026 661	Sling & Stone Pty Ltd | 87 145 965 466
SPACE MACHINES COMPANY PTY LTD	28 November 2023	15 631 026 661	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Spacecon Australia Pty Ltd	9 February 2016		The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
Spacecon Pty Ltd	5 February 2016		The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
Special Olympics Australia	25 February 2019	28 050 738 728	The Trustee for Upper Limit Trust | 45 833 435 179
Specialised Therapeutics Australia Pty Ltd	3 February 2023	73 124 031 241	THEMA Consulting Pty Ltd | 65 121 630 813
Specialisterne Australia	13 February 2023	21 607 985 973	Spring Street Advisory Pty Ltd | 92 603 411 650
Specsavers	14 November 2018		Hawker Britton Group Pty Ltd | 79 109 681 405
Speedcast Australia Pty Ltd	10 May 2021	28 159 524 553	WellComm Solutions | 15 281 181 953
Sphere (For Good) Holdings Pty Ltd	12 July 2024	65 664 179 462	Sapphire Executive Business Services | 17 661 600 504
Spinal Muscular Atrophy Australia	8 February 2022	44 127 198 761	OGILVY HEALTH PTY LTD | 62 114 807 877
SpinalCure Australia	1 March 2010		Res Publica Pty Ltd | 63 103 178 258
Spirits and Cocktails Australia	5 August 2024		Leonis Advisory | 26 381 028 834
Splunk	3 April 2023	51 609 939 817	TG Public Affairs Pty Ltd | 23 630 677 673
Sports Entertainment Network P/L	6 July 2020	63 129 637 378	GIMC Consulting | 41 317 956 923
Sportsbet Pty Ltd	17 March 2023	87 088 326 612	Premier State Consulting Pty Ltd | 26 149 964 189
Sportsbet Pty Ltd	17 March 2023	87 088 326 612	PremierNational Pty Ltd | 71 619 450 841
Spotify	19 April 2023		DPG Advisory Solutions | 14 634 403 115
Springfield City Group	29 October 2024	35 055 714 531	SANLAAN PTY LTD | 21 131 482 230
SPRINGFIELD CITY GROUP PTY LIMITED	28 August 2024	35 055 714 531	JP STRATEGIC ADVISORY PTY LTD | 58 674 312 077
Square Australia Pty Ltd	9 April 2024	38 167 106 176	Brockwell Strategy Pty Ltd | 85 675 736 259
SRC AUS PTY LTD	7 October 2022	27 610 922 579	PYNE AND PARTNERS PTY LTD | 81 634 747 363
St Giles Society Ltd	4 July 2023	79 067 523 335	Font Public Relations Pty Ltd | 39 129 451 716
ST JOHN AMBULANCE AUSTRALIA LTD	6 October 2023	83 373 110 633	Jo Scard Pty Ltd | 29 145 634 224
St John Ambulance NSW	1 February 2021	84 001 738 370	Marketing Elements Pty Ltd | 86 086 302 838
St John of God Health Care Inc.	6 December 2023	21 930 207 958	Purple Communications Australia Pty Ltd | 37 108 802 366
St John of God Healthcare	7 February 2024	21 930 207 958	Bourke Street Advisory | 54 075 139 609
St John of God Midland	4 July 2019		Purple Communications Australia Pty Ltd | 37 108 802 366
ST PETERS BREWERY SYDNEY PTY LTD	24 May 2023	38 626 100 776	Convaim Pty Ltd | 69 628 935 133
Stable property Group Pty Ltd	8 July 2024		Dr Cameron Francis Hogan | 67 595 207 069
Standard Botanic	5 August 2024	65 645 169 188	Leonis Advisory | 26 381 028 834
Standards Australia	14 February 2019		TG Public Affairs Pty Ltd | 23 630 677 673
StandbyU Foundation	31 March 2020	38 621 031 785	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
StandbyU Foundation	5 April 2021	38 621 031 785	BB Win Win Outcomes | 91 671 079 056
STANDBYU FOUNDATION LTD	5 May 2024	38 621 031 785	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
StandWithUs Australia Limited	13 August 2024	87 608 876 875	Horizon GR Pty Ltd | 72 652 169 170
Starboard Maritime Intelligence Limited	3 July 2023		Stirling Advisory Pty Ltd | 65 657 724 199
STÄRKE-AMG Group Pty Ltd	27 February 2023	15 663 497 676	PYNE AND PARTNERS PTY LTD | 81 634 747 363
STEPS GROUP AUSTRALIA LTD	12 July 2024		Advanced Outcomes | 59 719 341 477
Sterile Compounding Australia Inc	26 June 2024	63 281 964 256	Royce Communications Pty Ltd | 91 167 042 408
Sterile Compounding Australia Inc	27 June 2024	63 281 964 256	John Fetter Group Pty Ltd | 72 688 652 639
Steritech	4 July 2023	30 451 935 502	Paramul Pty Ltd | 37 140 000 602
Stoma Industry Association Incorporated	13 December 2023	83 373 430 496	The Civic Partnership Pty Ltd | 71 652 574 171
Stone & Chalk	7 February 2024	29 603 489 229	Sling & Stone Pty Ltd | 87 145 965 466
Stop, Rethink Humelink	5 September 2023		Sapphire Executive Business Services | 17 661 600 504
Strata Community Association (NSW) Ltd	9 September 2024	74 001 767 997	GRACosway Pty Ltd | 50 082 123 822
Stratasys	18 July 2023	31 140 770 609	Royce Communications Pty Ltd | 91 167 042 408
StrategyDotZero (IP) Pty Ltd	25 May 2023		PYNE AND PARTNERS PTY LTD | 81 634 747 363
Strider Technologies	26 August 2024		Maddison, Paul Andrew | 19 114 390 556
Strike Energy	28 July 2021	59 078 012 745	CGM Communications Pty Ltd | 66 619 642 858
Stripe Payments Australia Pty Ltd	11 November 2019	66 160 180 343	Eloquium Group Pty Ltd | 45 631 309 923
Stryker	9 September 2011		CMAX Communications Pty Ltd | 73 130 740 546
Stryker Australia Pty Ltd	8 November 2023	48 002 873 850	Salus Advisory Pty Ltd | 77 282 880 834
Strzelecki Holding Pty Ltd	3 February 2023	30 077 928 477	Megan Anwyl | 13 159 060 561
Sudbury Community House	15 July 2024	21 831 946 718	Perth Media Pty Ltd | 33 627 879 627
Suicide Prevention Australia	20 September 2023	64 4 613 526 76	Provocate Pty Ltd | 42 622 384 525
Sumitomo Corporation	7 August 2023		TG Public Affairs Pty Ltd | 23 630 677 673
Summit Hydro Pty Ltd	20 August 2024	26 630 593 814	TG Public Affairs Pty Ltd | 23 630 677 673
Sungrow Australia Group	18 September 2024		CMX Energy Consulting Pty Ltd | 85 643 880 568
Sunrise Journal	30 January 2024		Yogya Santai Pty Ltd | 14 086 099 621
Sunshine Coast Broadcasters	19 January 2017	29 009 719 528	GIMC Consulting | 41 317 956 923
SUNTORY BEVERAGE & FOOD AUSTRALIA PTY LTD	13 December 2024	73 060 091 536	GRACosway Pty Ltd | 50 082 123 822
Supacat Ltd	1 March 2010		LOPAC Consulting Pty Limited | 84 150 667 486
Surf Life Saving Queensland	19 December 2024		The Inner Circle Strategic Advisory | 51 823 820 442
Susan McKinnon Foundation	20 January 2023	28 739 100 711	DPG Advisory Solutions | 14 634 403 115
Susan McKinnon Research Centre Ltd	21 June 2024	40 656 129 127	Counsel House Pty Ltd | 35 631 919 009
Susan McKinnon Research Centre Ltd	31 March 2023	40 656 129 127	Counsel House Pty Ltd | 35 631 919 009
Sustainable Solutions	1 November 2023	85 624 329 960	The Influence Corporation Pty. Ltd. | 79 671 703 156
SYDDECK NO.3 PTY. LIMITED	9 July 2024	53 003 834 900	PATON, ALEXANDER WILLIAM | 26 764 474 411
SYDNEY AIRPORT CORPORATION LIMITED	27 January 2023	62 082 578 809	EJF Advisory Pty Ltd | 91 659 678 047
Sydney Desalination Plant	30 June 2022	50 125 935 177	Primary Communication Partners Pty Limited | 36 617 864 347
Sydney In Home Care Services	15 November 2018		Fowlstone Communications Pty Ltd | 74 085 739 046
Sydney Marine Sand	16 October 2012		Richardson Coutts Pty Ltd | 82 378 912 405
Sydney Maritime Museum Ltd	12 June 2020	70 000 519 246	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
Sydney Park Estate	9 February 2016		CRAKYL Pty Ltd | 40 105 759 279
Sydney Partners Health Education Research Enterprise	2 January 2020		Jannette Cotterell | 51 364 113 263
Sydney Swans Ltd	5 July 2013		SEC Newgate Pty Limited | 38 162 366 056
SydWest Multicultural Services	22 November 2022		Advisory Street | 28 613 329 472
Symal Infrastructure Pty Ltd	7 October 2021		TG Public Affairs Pty Ltd | 23 630 677 673
Symphony Services Australia Limited	22 July 2024	69 121 149 755	SEC Newgate Pty Limited | 38 162 366 056
SYPAQ SYSTEMS PTY LTD	9 July 2021	90 058 352 122	CMAX Communications Pty Ltd | 73 130 740 546
T W U NOMINEES PTY LTD	20 February 2017	67 002 835 412	PRX Unit Trust | 71 595 434 578
TAFE Directors Australia	1 March 2010		The Trustee for the Bowden Family Trust | 31 267 269 201
Taipei Economic and Cultural Office Limited (Australia)	25 January 2024		PYNE AND PARTNERS PTY LTD | 81 634 747 363
TAKEDA PHARMACEUITICALS AUSTRALIA PTY. LTD.	9 February 2021	71 095 610 870	OGILVY HEALTH PTY LTD | 62 114 807 877
TAL Services Limited	6 July 2016		Hawker Britton Group Pty Ltd | 79 109 681 405
TAL Services Limited	16 June 2016		Barton Deakin Pty Ltd | 65 140 067 287
Talison Lithium	1 February 2024	15 140 122 078	CGM Communications Pty Ltd | 66 619 642 858
Tamboran Resources Limited	31 May 2024	28 135 299 062	Bondi Partners Advocacy Pty Ltd | 68 661 609 329
Tamboran Resources Limited	8 November 2023	28 135 299 062	L Ivanovski and GA Richardson | 25 268 973 694
Tamborine Mountain Arts Precinct (TMAP)	12 July 2024	82 674 780 824	Provocate Pty Ltd | 42 622 384 525
Taronga Ventures Pty Limited	13 September 2019	85 609 725 671	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
Taryn Brumfitt - Body Image Movement - Pro bono	1 March 2023		Principle Advisory Pty Ltd | 29 657 059 848
TasRex Pty Ltd	16 February 2024	88 638 124 204	PR4PR Pty Ltd | 89 634 536 351
Tattarang Pty Ltd	19 April 2024	69 055 961 361	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Tax Management New Zealand	25 October 2019		Cornerstone Group Australia Pty Ltd | 99 153 936 719
Tax Traders Ltd	25 October 2019		Cornerstone Group Australia Pty Ltd | 99 153 936 719
TBEA	24 January 2019		KIG Energy Pty Ltd | 14 613 519 770
Teach for Australia	7 November 2023	27 133 833 762	Jo Scard Pty Ltd | 29 145 634 224
Team Global Express Pty Ltd	19 January 2024	15 084 157 666	TSB Advisory Pty Ltd | 90 604 408 826
TeamKids	13 March 2020	18 155 258 227	GRACosway Pty Ltd | 50 082 123 822
Tech Policy Design Centre	13 November 2023	52 234 063 906	AKIN AGENCY PTY LTD | 26 624 988 263
Technique Solar	8 July 2018		Media and Public Affairs Australia | 49 622 979 177
TECHNOLOGY COUNCIL OF AUSTRALIA LIMITED	13 November 2023	19 645 471 058	AKIN AGENCY PTY LTD | 26 624 988 263
Ted Noffs Foundation	23 May 2024	49 018 049 971	Banksia Strategic Partners Pty Ltd | 50 660 359 866
Ted Noffs Foundation Inc	24 May 2024	49 018 049 971	Walter William Secord | 48 219 768 150
Teledyne CARIS Inc.	22 January 2018		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Tellus Holdings	2 June 2022	97 138 119 829	EJF Advisory Pty Ltd | 91 659 678 047
Telos Corporation	6 July 2023		Simplicity One Pty Ltd | 38 640 087 494
Telos Corporation	27 January 2023		BDAAS Consulting Pty Ltd | 62 164 001 969
Telstra	16 March 2018	33 051 775 556	Nexus APAC Pty Ltd | 76 615 655 699
Telstra	4 November 2022	33 051 775 556	Principle Advisory Pty Ltd | 29 657 059 848
Telstra Corporation Ltd	5 May 2017		Scott Mitchell and Partners Pty Ltd | 80 617 178 453
Telstra Corporation Ltd	14 February 2018	33 051 775 556	Premier State Consulting Pty Ltd | 26 149 964 189
Telstra Corporation Ltd	14 February 2018	33 051 775 556	PremierNational Pty Ltd | 71 619 450 841
Telstra Limited	3 March 2023	64 086 174 781	Premier State Consulting Pty Ltd | 26 149 964 189
Telstra Limited	3 March 2023	64 086 174 781	PremierNational Pty Ltd | 71 619 450 841
Tennent Group Pty Ltd	19 December 2023	17 667 233 767	SP Maher and SL Maher | 29 560 969 499
Tennent Group Pty Ltd	9 January 2024	17 667 233 767	GovTech Australia Pty Ltd | 51 673 743 890
Tennis Australia Ltd	15 February 2023	61 006 281 125	Sports Hydrant Pty Ltd | 91 133 062 012
Terramin Australia Ltd	11 October 2024	67 062 576 238	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Tetra Pak	29 September 2021	25 050 612 274	FTI Consulting (Australia) Pty Ltd | 49 160 397 811
Tetra Resources	9 December 2022	18 633 892 109	Richardson Coutts Pty Ltd | 82 378 912 405
Tetris Capital Pty Ltd	18 June 2024	22 615 559 834	Hawker Britton Group Pty Ltd | 79 109 681 405
Tetris Capital Pty Ltd	8 October 2024	22 615 559 834	Barton Deakin Pty Ltd | 65 140 067 287
Teva Pharma Australia	15 May 2024	41 169 715 664	Nexus APAC Pty Ltd | 76 615 655 699
TEVA Pharma Australia Pty Ltd ABN 169 715 664	3 December 2014		Kirchmann Management Consultants Pty Ltd | 34 837 287 161
Textron Systems Australia	1 December 2021		TG Public Affairs Pty Ltd | 23 630 677 673
The Alannah & Madeline Foundation	21 October 2024	96 514 115 810	Bendle and Associates Pty Ltd | 50 090 829 351
The Alannah and Madeline Foundation (pro bono)	27 June 2022	96 514 115 810	Principle Advisory Pty Ltd | 29 657 059 848
The Anglican Schools Corporation	10 July 2024	63 544 529 806	GRACosway Pty Ltd | 50 082 123 822
The Association of Professional Staffing Companies Australia Ltd	22 November 2022	43 958 909 317	Cornerstone Group Australia Pty Ltd | 99 153 936 719
The Association of Superannuation Funds of Australia Ltd	15 March 2024	29 002 786 290	Hawker Britton Group Pty Ltd | 79 109 681 405
The Australia and New Zealand Banking Group Limited	7 June 2017	11 005 357 522	The Trustee for Bespoke Business Trust | 86 231 566 780
The Australia Institute	20 January 2023	90 061 969 284	DPG Advisory Solutions | 14 634 403 115
The Australia Traffic Network Pty Limited	3 August 2021	53 078 993 736	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
The Australian Academy of Facial Plastic Surgeons	29 June 2023	18 323 931 849	The Civic Partnership Pty Ltd | 71 652 574 171
The Australian Kidney Foundation	8 November 2021	37 008 464 426	OGILVY HEALTH PTY LTD | 62 114 807 877
The Australian Society of Otolaryngology Head and Neck Surgery	29 June 2023	50 002 977 102	The Civic Partnership Pty Ltd | 71 652 574 171
The Australian Thyroid Foundation Ltd	22 January 2024	28 080 557 642	AUDIENCED Pty Ltd | 23 158 354 011
The Bell Shakespeare Company Ltd	20 December 2024	87 050 055 251	Delta Advisory Pty Limited | 70 667 068 760
The Big Issue	12 August 2024		Antinomies Trust | 35 441 514 971
The Big Issue in Australia Ltd	19 November 2013		Sports Hydrant Pty Ltd | 91 133 062 012
The Big Issue in Australia Ltd	13 July 2021		Hawker Britton Group Pty Ltd | 79 109 681 405
The Brand Foundry Pty Ltd	15 July 2024	54 653 043 068	Perth Media Pty Ltd | 33 627 879 627
The Catholic Church in Australia	6 February 2024		The Influence Corporation Pty. Ltd. | 79 671 703 156
The Centre for New Energy Technologies (C4NET)	6 June 2024	56 626 202 480	Banksia Strategic Partners Pty Ltd | 50 660 359 866
THE CENTRE FOR VOLUNTEERING	10 June 2020	28 002 416 024	SECOND SUN MEDIA PTY LTD | 25 633 329 174
The Daily Aus Holdings Pty Ltd	19 June 2024	19 636 427 408	GRACosway Pty Ltd | 50 082 123 822
The Dax Centre	25 November 2020	76 147 566 792	Primary Communication Partners Pty Limited | 36 617 864 347
The Duke of Edinburgh’s International Award – Australia	6 March 2024		SAS Consulting Group Pty Ltd | 33 136 520 548
The DV Collective Limited	10 July 2024	83 664 392 189	McDonald, Stephen Brian | 44 912 187 867
The Dynamic Engineering Solution Pty Ltd	9 August 2023	77 113 168 424	PYNE AND PARTNERS PTY LTD | 81 634 747 363
The Dynamic Engineering Solution Pty Ltd	4 September 2023	77 113 168 424	PYNE AND PARTNERS PTY LTD | 81 634 747 363
The Embassy of the United Arab Emirates	17 December 2024		GRA Partners Pty Ltd | 56 131 702 755
The Embassy of the United Arab Emirates	25 October 2024		GRACosway Pty Ltd | 50 082 123 822
THE ENVIRONMENT CENTRE NT INC	8 November 2024	12 094 525 400	Upstream Consulting Pty Ltd | 87 620 657 418
The Ethics Centre Ltd	18 January 2024	83 637 740 533	GRACosway Pty Ltd | 50 082 123 822
The Fertility Society of Australia and New Zealand	25 September 2024	27 006 214 115	London Agency Pty Ltd | 73 145 352 147
The Frontier Touring Company Pty Ltd	25 July 2022	65 837 740 187	PR4PR Pty Ltd | 89 634 536 351
The Goodes O'Loughlin Foundation Limited	11 September 2023	59 139 676 010	Jo Scard Pty Ltd | 29 145 634 224
The GSM Association	8 December 2020		Wireless Frequency Studio.net | 69 691 549 218
THE HANDS OF RESCUE FOUNDATION LIMITED	17 November 2022	24 609 513 555	CMAX Communications Pty Ltd | 73 130 740 546
The Honourable Dr Ted Egan AO NK	11 July 2022		Yogya Santai Pty Ltd | 14 086 099 621
The Hospitals Contribution Fund of Australia	10 October 2023	68 000 026 746	Delta Advisory Pty Limited | 70 667 068 760
The Ladder Project Foundation	20 January 2023	99 674 034 976	Red Mitten | 83 259 412 882
The Little Blue Dinosaur Foundation	29 September 2016		Asys Consulting | 74 068 259 683
The Lockyer Valley Fruit & Vegetable Processing Company Ltd	30 April 2024	97 602 420 600	Anacta Strategies Pty Ltd | 64 633 978 677
The Lottery Corporation	19 June 2023	21 081 925 706	Principle Advisory Pty Ltd | 29 657 059 848
The Michael Long Foundation	12 April 2022	30 6 131 496 61	Banksia Strategic Partners Pty Ltd | 50 660 359 866
The MITRE Corporation	4 November 2022	41 838 046 114	PYNE AND PARTNERS PTY LTD | 81 634 747 363
The Mushroom Group	30 August 2022	30 162 476 628	PR4PR Pty Ltd | 89 634 536 351
The Owners Strata Plan 80877	21 April 2021	42 014 102 108	Wilkinson Butler Pty Ltd | 95 164 204 111
